crop,stream,product,what_it_is,value_density,india_status,market_size,viability,govt_fit,verification,source_url,vintage
rice,husk,husk_power,Husk-fired boiler / co-generation power,~0.9 MWh/tonne husk; fuel value ~Rs 2/kg,Widely used in rice mills / grain distilleries,Mass commodity (energy),Commercial (process self-power),verified,https://cgpl.iisc.ac.in/oldwebcontent/site/Portals/0/Technologies/PrecipitatedSilica.pdf,2024
rice,broken_rice,rice_starch,Gluten-free hypoallergenic starch for food/pharma/cosmetics,Mid value; premium vs corn starch,India rice-starch market ~USD 46 mn by 2030 (6.1% CAGR),Mid; niche within starch,Commercial,reported,https://www.industryarc.com/Research/India-Rice-Starch-Market-market.html-800712,2024
rice,broken_rice,rice_protein_isolate,Hypoallergenic plant protein from broken rice,Rs 225-450/kg; organic USD 8-14/kg,Growing (vegan/infant); India exports,Mid-high,Commercial,reported,https://www.researchandmarkets.com/reports/6083067/rice-protein-market-product-type-form-source,2026
rice,broken_rice,rice_FMCG,Poha / murmura / idli-dosa mix / rice flour FMCG,Branded staple margin (11-12% EBITDA comparators),Large domestic; co-op DPR template,Mass,Captive + commercial (Bharat brand),reported,https://www.industryarc.com/Research/India-Rice-Starch-Market-market.html-800712,2024
rice,whole_grain,fortified_rice_kernels_FRK,Extruded rice-shaped kernels with iron/folic-acid/B12 blended 1% into PDS rice,Mid value; captive tender pricing,Program ~Rs 2700 cr/yr; Rs 17082 cr to 2028; capacity 111 LMT fortified rice; ~3.5-4 LMT FRK/yr demand,Mass (captive),Captive government demand (PDS/ICDS/PM-POSHAN),verified,https://blog.lukmaanias.com/2024/10/14/fortified-rice-and-centre-extension-for-its-distribution-in-schemes/,2024
wheat,germ,wheat_germ_oil,High-vitamin-E / octacosanol nutraceutical oil from wheat germ,Rs 350-600/kg; export USD 5-12/kg,Germ is a wasted milling fraction; India exports small volumes,Niche high-value,Commercial/export,reported,https://dir.tridge.com/prices/wheat-germ-oil/IN,2024
wheat,gluten_starch,vital_wheat_gluten,~75% protein wheat gluten for bakery/meat-analogue/pet-food,Import ~USD 1292/t (~Rs 108/kg),India IMPORTS ~13000 t/yr (China 88%) despite 2nd-largest wheat producer,Mass-scalable (import substitution),Commercial + captive,verified,https://www.indexbox.io/store/india-wheat-gluten-market-analysis-forecast-size-trends-and-insights/,2024
wheat,gluten_starch,wheat_starch,Native/modified wheat starch (co-product of gluten) for food/paper/pharma,Mid value; part of USD 3.45 bn India starch mkt,Co-produced with gluten; India wet-milling nascent,Mid; scalable,Commercial,reported,https://www.mordorintelligence.com/industry-reports/india-starch-and-starch-derivative-market,2025
wheat,starch,glucose_maltodextrin_wheat,Glucose syrup / maltodextrin from wheat starch,Mid value,India starch-derivatives USD 3.45 bn (7.3% CAGR); Roquette-Riddhi Siddhi active,Mid; scalable,Commercial,reported,https://www.mordorintelligence.com/industry-reports/india-starch-and-starch-derivative-market,2025
wheat,bran,wheat_bran_fibre,Wheat bran for feed / dietary fibre / ferulic acid feedstock,Commodity feed value; fibre premium,Large domestic feed stream,Mass commodity,Commercial,reported,https://www.precedenceresearch.com/ferulic-acid-market,2025
wheat,flour,fortified_atta,Atta fortified with iron/folic-acid/B12 for PDS,Mid value; captive,Voluntary; ~2.0-2.5 LMT/yr est; ITC/Aashirwaad/Patanjali participate,Mass (captive potential),Captive government demand (PDS),reported,https://fortification.fssai.gov.in/commodity?commodity=fortified-wheat-flour,2024
wheat,flour,maida_suji_atta,Milled flour fractions (refined flour / semolina / whole-wheat),Commodity Rs 25-45/kg,Very large domestic staple,Mass commodity,Commercial (Bharat brand),reported,https://www.mordorintelligence.com/industry-reports/india-starch-and-starch-derivative-market,2025
maize,endosperm,maize_starch,Corn starch (wet-milling core) for food/paper/textile,Part of ~Rs 3500 cr organised starch industry,India #3 producer; 2.6 mn t output net exporter; ~14% of maize wet-milled,Mass-scalable,Commercial,reported,https://www.indexbox.io/store/india-maize-corn-starch-market-analysis-forecast-size-trends-and-insights/,2024
maize,starch,dextrose_HFCS_sorbitol,Dextrose / HFCS / sorbitol / maltodextrin from corn starch,Mid value; sugar substitute,Growing; Gujarat Ambuja / Roquette investing; India imports refined derivatives,Mass-scalable (import substitution),Commercial,reported,https://npcsblog.com/maize-processing-industry-in-india/,2024
maize,gluten,corn_gluten_meal,60-65% protein feed / pigment source,Feed premium (~Rs 40-60/kg); high vs world std,India exports maize gluten to >25 countries; Gujarat+Punjab 60%,Mass (export),Commercial,reported,https://dir.indiamart.com/impcat/corn-gluten-meal.html,2024
maize,germ,corn_germ_oil,Corn oil + germ meal from wet-milling germ fraction,Edible-oil value,Byproduct of wet-milling; import substitution,Mid,Commercial,reported,https://npcsblog.com/maize-processing-industry-in-india/,2024
maize,steep_fibre,corn_gluten_feed_DDGS,Gluten feed / distillers grains (also from ethanol stream),Commodity feed value,Large with ethanol expansion,Mass commodity,Commercial,reported,https://www.coherentmarketinsights.com/market-insight/corn-gluten-feed-market-4067,2024
pulses,grain,besan_gram_flour,Gram (chana) flour; huge domestic staple,Commodity + brand margin,India besan output >5 mn t (>50% of ~10 mn t desi chickpea); global gram-flour mkt USD 2.5-5.6 bn,Mass,Commercial (Bharat brand) + captive,reported,https://www.imarcgroup.com/india-pulses-market,2024
pulses,grain,dal_milled,Milled/split dal (toor/urad/moong/masur),Branded-staple 11-12% EBITDA vs ~0% raw auction,NAFED/NCCF procure and auction raw; margin ungifted,Mass,Captive + commercial (Bharat brand),reported,https://www.imarcgroup.com/india-pulses-market,2024
pulses,grain,pulse_protein_isolate,Pea/pulse protein isolate for plant-protein/export,Rs 250-450/kg; >60% conversion margin,India exports to US/UK/EU/UAE; feed-plant-protein mkt USD 85-360 mn,Mid-high; growing,Commercial/export,reported,https://www.niir.org/blog/technical-and-economic-evaluation-of-pea-protein-isolate-concentrate-production/,2026
pulses,husk_chuni,pulse_husk_feed,Chuni / husk / brokens as cattle & poultry feed,Commodity feed value,Large milling byproduct,Mass commodity,Commercial,reported,https://www.imarcgroup.com/india-pulses-market,2024
oilseeds,seed,edible_oil,Crude/refined edible oil (mustard/soy/groundnut/sunflower),Import parity ~Rs 100-110/kg,India 56-60% import-dependent; ~Rs 1.6-1.7 lakh cr import bill,Mass (import substitution),Commercial + captive (fortification),verified,https://www.ibef.org/news/india-exports-record-4-8-million-tonnes-of-oil-meal-animal-feed-in-fy24-sea,2024
oilseeds,meal,oilmeal_export,De-oiled meal (soybean/rapeseed/etc.) protein feed,Feed value; India big exporter,Record 48.86 LMT exported FY24 worth Rs 15368 cr,Mass (export),Commercial,verified,https://www.ibef.org/news/india-exports-record-4-8-million-tonnes-of-oil-meal-animal-feed-in-fy24-sea,2024
oilseeds,soy,soy_lecithin,Emulsifier phospholipid from soybean crushing,Feed-grade Rs 68-75/kg; specialty USD 200-350/kg,India imports specialty grades; domestic feed-grade produced,Mid; specialty niche,Commercial,reported,https://reports.valuates.com/market-reports/QYRE-Auto-2A16014/global-and-india-soy-lecithin,2026
oilseeds,soy,soy_protein_concentrate,Soy protein concentrate/isolate; food & feed protein,High vs meal,India crushes soy but imports concentrates,Mid-high,Commercial,reported,https://www.indexbox.io/store/india-animal-feed-plant-based-protein-isolate-market-analysis-forecast-size-trends-and-insights/,2026
cotton,cottonseed,cottonseed_oil,Edible oil from cottonseed (CCI-procured seed),Edible-oil value,CCI procures cotton; seed oil is domestic edible oil,Mass,Commercial,reported,https://moirai.in/blog/unlocking-the-secrets-of-cotton-linter-pricing,2025
cotton,cottonseed,cottonseed_meal,Protein feed cake from cottonseed crushing,Feed value,Domestic feed stream,Mass commodity,Commercial,reported,https://moirai.in/blog/unlocking-the-secrets-of-cotton-linter-pricing,2025
cotton,linters,cotton_linters_cellulose,Short fibres -> alpha-cellulose for viscose/MCC/nitrocellulose/cellulose acetate,Cellulose-derivative mkt USD 1.8 bn (2025) -> USD 3.1 bn (2034),India RAW-EXPORTS linters to China/Bangladesh which make high-purity cellulose,Mid-high (raw-exported byproduct),Commercial + industrial policy,reported,https://dataintelo.com/report/global-cotton-linter-cellulose-market,2025
